model,coef,p_raw,paper_claimed,p_bonferroni,p_bh,sig_raw_05,sig_bonferroni_05,sig_bh_05
Gemma3 27B,b_d_bed,1.3069015843400624e-08,False,2.404698915185715e-06,2.0207553909123656e-08,True,True,True
Gemma3 27B,b_d_cancel,3.469626115077889e-105,False,6.384112051743316e-103,2.6600466882263817e-104,True,True,True
Gemma3 27B,b_d_breakfast,3.750717482063228e-103,False,6.90132016699634e-101,2.760528066798536e-102,True,True,True
Gemma3 27B,b_d_review_score,2.6918884065122053e-123,True,4.953074667982458e-121,2.6068814042012936e-122,True,True,True
Gemma3 27B,b_d_review_count_100,3.9030908247987476e-28,False,7.181687117629695e-26,8.549627520987734e-28,True,True,True
Phi-4 14B,b_logp,6.515668569683355e-116,True,1.1988830168217374e-113,5.449468258280624e-115,True,True,True
Phi-4 14B,b_linp,1.8381541203491784e-113,False,3.382203581442488e-111,1.4705232962793427e-112,True,True,True
Phi-4 14B,b_d_stars,1.960651304725217e-17,False,3.6075984006943995e-15,3.57187960464792e-17,True,True,True
Phi-4 14B,b_d_bed,0.0360559509961165,False,1.0,0.04336140511951265,True,False,True
Phi-4 14B,b_d_cancel,4.082309490226873e-142,False,7.511449462017447e-140,7.511449462017447e-141,True,True,True
Phi-4 14B,b_d_breakfast,6.803282043002115e-89,False,1.2518038959123891e-86,3.911887174726216e-88,True,True,True
Phi-4 14B,b_d_review_score,9.858468726114094e-94,True,1.8139582456049931e-91,6.046527485349977e-93,True,True,True
Phi-4 14B,b_d_review_count_100,5.842562325417185e-21,False,1.075031467876762e-18,1.1316120714492232e-20,True,True,True
Gemma2 9B,b_logp,3.3859086074498685e-153,True,6.230071837707758e-151,1.5575179594269395e-151,True,True,True
Gemma2 9B,b_linp,1.0923558322617253e-130,False,2.0099347313615745e-128,1.1166304063119858e-129,True,True,True
Gemma2 9B,b_d_stars,4.503791115729722e-11,False,8.286975652942688e-09,7.269276888546217e-11,True,True,True
Gemma2 9B,b_d_bed,0.0022857655457437,False,0.42058086041684084,0.002982842981679722,True,False,True
Gemma2 9B,b_d_cancel,1.2617974930805494e-69,False,2.321707387268211e-67,5.047189972322198e-69,True,True,True
Gemma2 9B,b_d_breakfast,2.7818937938106627e-61,False,5.11868458061162e-59,9.657895435116263e-61,True,True,True
Gemma2 9B,b_d_review_score,1.0223652633156205e-42,True,1.8811520845007415e-40,2.6495099781700587e-42,True,True,True
Gemma2 9B,b_d_review_count_100,0.0061915660048184,False,1.0,0.007966770243962137,True,False,True
Gemma3 12B,b_logp,3.270242249924832e-80,True,6.01724573986169e-78,1.5043114349654227e-79,True,True,True
Gemma3 12B,b_linp,7.069745079787585e-76,False,1.3008330946809157e-73,3.09722165400218e-75,True,True,True
Gemma3 12B,b_d_stars,7.912815031931128e-05,False,0.014559579658753277,0.00010784873821298723,True,True,True
Gemma3 12B,b_d_bed,0.0782828986552962,False,1.0,0.09174556275525159,False,False,False
Gemma3 12B,b_d_cancel,6.922863952408603e-49,False,1.2738069672431828e-46,1.9903233863174732e-48,True,True,True
Gemma3 12B,b_d_breakfast,1.0298839705268775e-51,False,1.8949865057694547e-49,3.106535255359762e-51,True,True,True
Gemma3 12B,b_d_review_score,3.954692055373033e-148,True,7.276633381886381e-146,1.2127722303143968e-146,True,True,True
Gemma3 12B,b_d_review_count_100,1.785385747579698e-07,False,3.285109775546644e-05,2.6708209557289794e-07,True,True,True
Phi-3 Medium,b_logp,1.6854414168424064e-80,True,3.1012122069900277e-78,7.951826171769303e-80,True,True,True
Phi-3 Medium,b_linp,1.929025871656823e-50,False,3.549407603848554e-48,5.633980323569134e-50,True,True,True
Phi-3 Medium,b_d_stars,2.822282807677933e-40,False,5.193000366127396e-38,7.017568062334319e-40,True,True,True
Phi-3 Medium,b_d_bed,0.0305124752069493,False,1.0,0.03718076449058723,True,False,True
Phi-3 Medium,b_d_cancel,3.590231878209218e-119,False,6.606026655904961e-117,3.1457269790023628e-118,True,True,True
Phi-3 Medium,b_d_breakfast,4.5091430254892746e-46,False,8.296823166900265e-44,1.2383318159552635e-45,True,True,True
Phi-3 Medium,b_d_review_score,1.0049998643942589e-99,True,1.8491997504854365e-97,6.604284823162272e-99,True,True,True
Phi-3 Medium,b_d_review_count_100,0.0511187341038882,False,1.0,0.060293891507150185,False,False,False
GPT-4.1 Nano,b_logp,5.323524824505875e-83,True,9.79528567709081e-81,2.6473745073218404e-82,True,True,True
GPT-4.1 Nano,b_linp,1.2761309206268094e-54,False,2.3480808939533295e-52,4.193001596345231e-54,True,True,True
GPT-4.1 Nano,b_d_stars,2.566571876680726e-28,False,4.722492253092536e-26,5.689749702521128e-28,True,True,True
GPT-4.1 Nano,b_d_bed,0.0007484849180785,False,0.137721224926444,0.0009908001793269353,True,False,True
GPT-4.1 Nano,b_d_cancel,2.5541561826884164e-64,False,4.699647376146686e-62,9.59111709417691e-64,True,True,True
GPT-4.1 Nano,b_d_breakfast,1.8897779901998316e-51,False,3.47719150196769e-49,5.608373390270467e-51,True,True,True
GPT-4.1 Nano,b_d_review_score,8.287495576189591e-145,True,1.5248991860188847e-142,1.6943324289098717e-143,True,True,True
GPT-4.1 Nano,b_d_review_count_100,6.727969828132997e-08,False,1.2379464483764715e-05,1.0230962383276623e-07,True,True,True
Llama3.2 3B,b_logp,5.148349617072273e-23,True,9.472963295412982e-21,1.0185982038078474e-22,True,True,True
Llama3.2 3B,b_linp,5.8088075080452436e-11,False,1.0688205814803248e-08,9.29409201287239e-11,True,True,True
Llama3.2 3B,b_d_stars,8.294482875508009e-09,False,1.5261848490934736e-06,1.293376990757181e-08,True,True,True
Llama3.2 3B,b_d_bed,0.2786281627632579,False,1.0,0.3033584730676891,False,False,False
Llama3.2 3B,b_d_cancel,2.629357239535855e-62,False,4.838017320745973e-60,9.486308472050927e-62,True,True,True
Llama3.2 3B,b_d_breakfast,3.727657403949823e-47,False,6.858889623267675e-45,1.0392257004951022e-46,True,True,True
Llama3.2 3B,b_d_review_score,7.042926281948025e-88,True,1.2958984358784366e-85,3.926964957207384e-87,True,True,True
Llama3.2 3B,b_d_review_count_100,0.0175923774736833,False,1.0,0.0218716044267414,True,False,True
Gemma3 4B,b_logp,2.2323889913884088e-44,True,4.107595744154672e-42,6.040581976698048e-44,True,True,True
Gemma3 4B,b_linp,1.3086437640138113e-52,False,2.4079045257854126e-50,4.0131742096423546e-52,True,True,True
Gemma3 4B,b_d_stars,5.208707237449825e-18,False,9.58402131690768e-16,9.68082961303806e-18,True,True,True
Gemma3 4B,b_d_bed,0.0188151460640307,False,1.0,0.0232348112468567,True,False,True
Gemma3 4B,b_d_cancel,6.51563079443839e-34,False,1.1988760661766637e-31,1.577468508127189e-33,True,True,True
Gemma3 4B,b_d_breakfast,6.380504788114726e-56,False,1.1740128810131097e-53,2.1345688745692904e-55,True,True,True
Gemma3 4B,b_d_review_score,4.585930426715032e-75,True,8.438111985155659e-73,1.9623516244548046e-74,True,True,True
Gemma3 4B,b_d_review_count_100,1.0763280053663849e-23,False,1.980443529874148e-21,2.1763115712902727e-23,True,True,True
Mistral-Nemo 12B,b_logp,2.530369690945786e-53,True,4.655880231340246e-51,7.891322426000418e-53,True,True,True
Mistral-Nemo 12B,b_linp,1.197330293037713e-42,False,2.203087739189392e-40,3.0581361362855225e-42,True,True,True
Mistral-Nemo 12B,b_d_stars,0.098876315373783,False,1.0,0.11230396314059303,False,False,False
Mistral-Nemo 12B,b_d_bed,0.1192797450658643,False,1.0,0.13464707418477934,False,False,False
Mistral-Nemo 12B,b_d_cancel,3.562757343717048e-19,False,6.555473512439369e-17,6.828618242124342e-19,True,True,True
Mistral-Nemo 12B,b_d_breakfast,0.0002069177128843,False,0.0380728591707112,0.0002758902838457333,True,True,True
Mistral-Nemo 12B,b_d_review_score,2.3959073907928048e-47,True,4.408469599058761e-45,6.782260921628862e-47,True,True,True
Mistral-Nemo 12B,b_d_review_count_100,0.3390494863073289,False,1.0,0.3648251782488217,False,False,False
